City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Bentiu,SS,82.85,clear sky,9.2333,29.8333,Mandela hôtel
631,Cayenne,GF,79.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
636,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
637,Sechura,PE,77.38,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
640,Naifaru,MV,80.87,few clouds,5.4444,73.3657,Naifaru Residence Guest House
643,Mahajanga,MG,77.02,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
645,Rocha,UY,72.99,broken clouds,-34.4833,-54.3333,Hotel Arrarte
652,Paita,PE,82.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
653,Elesbao Veloso,BR,77.63,light rain,-6.2019,-42.1403,Pousada Paraiso
656,Kalmunai,LK,74.93,overcast clouds,7.4167,81.8167,VS Villa
658,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
661,Loanda,AO,82.4,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
663,Srandakan,ID,73.45,overcast clouds,-7.9386,110.2506,Puri Brata
668,Kualakapuas,ID,75.36,light rain,-3.0091,114.3876,Guest House Izonk
672,Rio Sereno,PA,80.38,overcast clouds,8.8167,-82.8667,Agua Luna Ecolodge
673,Tarauaca,BR,77.54,overcast clouds,-8.1614,-70.7656,Flat Temporada
679,Kismayo,SO,77.5,few clouds,-0.3582,42.5454,Agan-Hotel
681,Altagracia De Orituco,VE,76.14,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
682,Namatanai,PG,79.72,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
683,Tema,GH,81.01,light rain,5.667,-0.0166,Beulah Royale Hotel Tema
